id,source
94962,2919814402697966089
3972,3263022753228392991
94644,-3857390427602554682
82518,-9036908390349249792
53264,3353856219169766284
22471,-3857390427602554682
53874,-6890157855782583695
99000,333704201121572959
6086,5037651995465818283
61983,1511596184043954541
98807,-9036908390349249792
53362,7448028171994182232
80607,-2096397022692237160
32793,2919814402697966089
11571,-7132213643545496610
75652,-5977436388881176085
80916,-3875622111726099900
18714,1154443845622609319
72204,333704201121572959
36700,333704201121572959
12630,-2365805222802480941
49029,-7132213643545496610
101659,-1453152215811297200
23055,-3857390427602554682
67174,-1561845362352671270
28152,438992158615624151
36241,6116003195311480454
61780,664384864052860477
44960,-2096397022692237160
39198,2663458063516532582
44924,-6487381394883675245
69857,-2728984004347936411
23851,4345056751185075395
14640,6384053416461265385
694,-4641735499956732175
54891,5350816856903614422
48288,-9036908390349249792
104058,486687552200344200
71389,4457497589447910041
58153,6165562897904119302
37621,981789127750603755
14572,-6040481724812878265
48451,6960183885978988771
77739,-4406039901151036792
21646,-1966750567784307917
5945,8505593918519238822
21087,-904597817301211122
29808,-904597817301211122
6220,-1094851021680072356
13499,1511596184043954541
27884,6384053416461265385
82485,-1453152215811297200
384,6960183885978988771
8326,3278181411536496217
59328,5034997109197911957
2504,-1570582482776003243
78869,9061270363560608911
98358,-1171301728250505148
46934,6825288131122031877
24724,-7132213643545496610
39577,-444088314056424859
29221,9175778601307480292
102319,3763559002235847595
71910,-9036908390349249792
56129,6253226190680798568
99751,-5977436388881176085
52650,-2562625710672185256
37272,6815562850404605505
97105,1859678558675986436
100845,3263022753228392991
91617,2663458063516532582
74023,-5977436388881176085
63184,8380294571291117123
90376,-3386291972171625045
43233,6638304803185717780
34111,-6689871462895442361
70774,-2096397022692237160
70654,-5785837385787298642
19738,3353856219169766284
67746,5937096423744821402
81238,-5996098143757304570
17396,-1773942596178504153
58467,7779248968121430758
225,6735281986902840453
16201,333704201121572959
3135,-6335503857186856463
28162,-8837129484423257280
40237,754555646821326713
25697,-1221783660163051782
97940,247027940822660128
40423,2514534694586106682
85795,1021449205974045258
66778,-4449749728533732157
79353,664384864052860477
7002,3263022753228392991
88869,664384864052860477
18158,-1570582482776003243
67462,-316837998266903289
24158,2919814402697966089
23085,-674772923052451460
102803,6724242784544001199
28163,7000902262540401556
88890,-5955301413548628753
64584,-8824255057822751336
62671,4345056751185075395
73580,-8696479871836914144
30760,6488386708372874589
18536,-3860852332896321018
34334,-7089716415039003314
2910,-1773942596178504153
91431,664384864052860477
245,-214833728670069534
6333,-1773942596178504153
42140,5993836340293256418
31129,-7176979510164385492
86713,-8696479871836914144
93209,8712529222635649979
23699,4457497589447910041
25084,6165562897904119302
73613,-510619878950507438
96405,-3734805062612814704
17498,-7592427875566334736
59953,-3859454758636460983
76337,-8214907281123039476
85476,-6335503857186856463
93497,-3857390427602554682
32499,1041457921107175891
4838,-4334783225210359060
26371,-1430079240535925083
26522,7088585276422923714
26002,8003709807405304825
65218,5663961931031322011
37478,2663458063516532582
98975,5923491298323903775
28967,-6172348761955347672
31144,-9036908390349249792
83206,8872491917601342765
103110,-940939739391593831
59042,-2096397022692237160
55226,-5712152832886402150
37046,7453539296140113733
29148,-3995921689885598652
18542,6148953253769366550
83082,5316862421154782988
94270,1428267961787924135
91824,4150905660553774010
73997,-5543802836990513861
51060,511383914241789462
2070,2068856132210835587
35580,-6250659454961859582
62905,664384864052860477
38202,-6335503857186856463
94026,6438966082074254946
64381,-4436026839221146058
73829,-6556653492635643867
44532,-2797978417143663114
81351,6960183885978988771
32076,438992158615624151
959,8965731545871597272
80167,-5012804181403818239
96879,-6494543134811182584
2822,3997670920335683902
28743,-6689871462895442361
7571,4972218400684056628
7243,-6689871462895442361
53266,333704201121572959
97535,6079763540974055494
4526,-4436026839221146058
63480,7294545428323447435
100043,-5178133753072165466
80998,333704201121572959
10748,2919814402697966089
80692,-3628581188713865719
37562,-3995921689885598652
13784,-1773942596178504153
26912,-974167878325279910
62693,8798691734987113135
9292,-3676764727982604567
81435,-1773942596178504153
55164,-5996098143757304570
2997,1095429644460571985
52555,-8837129484423257280
42861,-6181052337396178873
30713,-6487381394883675245
65723,-241164417033883307
73336,664384864052860477
103876,7239282739502751510
88069,-6747634744197548825
52435,-8285882975361730836
21640,-35701379511239840
60602,6572269553900489001
94089,8572377950285919890
77372,-6250659454961859582
81447,-316837998266903289
98312,-2811502272620733344
47830,333704201121572959
2035,-940939739391593831
29889,-974167878325279910
80849,7000902262540401556
100630,-5977436388881176085
9644,3734647311897120577
92935,-7132213643545496610
81401,-7132213643545496610
16366,-2629928390644428115
62175,-9036908390349249792
103021,-846147639171194751
52607,7519938593746792430
4606,-4406039901151036792
69304,-1773942596178504153
13556,-510619878950507438
83391,6384053416461265385
82652,-4381339766391621398
53609,2919814402697966089
36882,-3250013302338642214
94166,6572269553900489001
103822,8572377950285919890
80148,1319136192675515169
63642,-3628581188713865719
74064,-1430079240535925083
52395,-6788662930373110667
21091,4529231737640976265
40438,1329351928369410919
75369,-864660561265019495
28567,1083777635870009373
32461,-4699317631929868596
36256,8658627334353140355
4179,6015851746455722558
2207,-2883681852253555561
40359,-3859454758636460983
31091,7453539296140113733
16634,-3859454758636460983
88699,-8712058809621657120
52502,664384864052860477
17955,6960183885978988771
89556,-204218137237509815
93301,-2430645208300728449
96085,9033468403910468000
66545,-2522924912422260579
80080,-6887432199854047931
48679,1753291629202004462
42152,-8013892024501030425
83993,3147683850372641946
91012,664384864052860477
86847,-8102887583926502884
74726,-9090567240892596020
79240,7427572870567269793
31198,-5832437472351307267
86896,-3988947424137605485
49211,-8511273708812867383
51986,-2960890660675280296
40187,-4727937701926247394
438,-6590692711669697375
25988,4457497589447910041
81896,6960183885978988771
60956,300202445727907268
26382,-7132213643545496610
36925,-2456521456797337551
92408,-4046939871319184497
101704,4457497589447910041
6454,-6793097416390290879
11261,3968624372628808500
101884,-6878569257782081656
33999,-3600547439560200301
59115,-6747634744197548825
5318,-7132213643545496610
88324,-8696479871836914144
97900,-444506421106137236
65400,2945944180504095458
63809,-1773942596178504153
89499,-1443254968087838350
50430,-4641735499956732175
82238,-2994621600471585514
88174,5491625757021259090
97182,-2607535148111151957
65049,7262340283284002386
6735,-3859454758636460983
94113,-7326738222407958532
90819,6960183885978988771
78966,-895252807456032623
21069,-2456521456797337551
55634,-5140420809930201150
24229,8484119365315303058
49496,-6494543134811182584
90427,-7905516888922972540
68435,-6181052337396178873
73448,5111782613796168645
6362,6960183885978988771
49107,-2797978417143663114
31489,-3980089391886603978
66179,8260752366720127802
68083,6864486874992329382
2834,5383739032264910454
68321,-6565123459490609218
2044,-4436026839221146058
40393,705315340667123519
17984,-8696479871836914144
6595,-8349410191738075048
3128,2919814402697966089
15051,5453559362776867211
22213,8572377950285919890
52259,-2496185849804301397
70490,8033295933067801435
56769,5480309816671896282
78415,4708481544244303196
20313,-5367449799349242067
32420,8111556726446166937
88660,-1506068137601905360
29375,4440486121957353189
50079,-2108783771316333610
75586,1319136192675515169
46759,-510619878950507438
12098,6903057095103054844
43742,5121641484996551056
49929,-1042666634070706316
25086,-7804092866587255313
6541,5857575266410127218
10179,5383739032264910454
101816,-2127764571617214203
4736,7000902262540401556
85987,-8696479871836914144
68702,-2132544289222212345
74939,5398712739551363921
86226,-4449749728533732157
87007,-1346915522636116614
65869,-4746548180371602620
93855,-2629928390644428115
104134,-2108783771316333610
104179,2565446948063201173
1299,-5999581892077855233
73319,9061270363560608911
26225,-2938033271481814467
472,4886163167982122647
18619,-7722071268383663074
621,3808250754988352367
88780,-444088314056424859
104435,2514534694586106682
86851,-2994621600471585514
85447,-6278816830601869178
51269,-6565123459490609218
4748,-7132213643545496610
6194,2409047012809957107
99974,-8696479871836914144
41839,6148953253769366550
16988,-188105537095335687
11765,-3657866431056618591
22096,-3208701965562958470
34850,8354189776367105151
102943,4457497589447910041
78560,4794897185538124906
63212,6960183885978988771
52305,7448028171994182232
81611,-2811502272620733344
80685,333704201121572959
40034,-6890157855782583695
23972,664384864052860477
48659,3334479240279842711
12923,-3482935038500113129
88622,-3628581188713865719
65949,-683364490666194593
1508,8780887040005205350
13742,8907476813857753738
70890,-6890157855782583695
74491,5987024590397660376
40350,6924040166423636344
86858,-2479247740869288167
94803,-283484156981600912
90322,6572269553900489001
29215,-2549186196894286584
32381,-4717952397298844336
9873,7493833225855176868
74220,-1869100005055074748
46108,-4711300757960482469
88800,-214833728670069534
78134,1329351928369410919
92377,6163598760165832005
