iter	Logloss	MAP	PrecisionAt:top=100
0	0.4175086117	0.1670116409	0.112235064
1	0.3644497587	0.2138213009	0.1974613846
2	0.352118933	0.2584989041	0.2417851891
3	0.34828226	0.267453014	0.2474936597
4	0.3464175135	0.2734232903	0.2509642169
5	0.3456413981	0.2857398707	0.2602490279
6	0.3451351255	0.2873130397	0.2612139864
7	0.3449511413	0.2923715002	0.2638958465
8	0.3445966241	0.2958354514	0.2659088882
9	0.344379921	0.3008242887	0.268103329
10	0.3442042306	0.3016252437	0.2685171085
11	0.3439874895	0.3023032164	0.2690277131
12	0.3438991331	0.3040551586	0.2698301107
13	0.3437992749	0.3049925408	0.2702051601
14	0.3437227151	0.3064117842	0.2707128666
15	0.3436608093	0.3072434584	0.2709088882
16	0.3435561414	0.3077170692	0.2711183468
17	0.3434707981	0.3079732357	0.2712819616
18	0.3434043274	0.3083531882	0.2715400304
19	0.3433632496	0.3085480656	0.2715957542
20	0.3432728998	0.3086387892	0.27160682
21	0.3432208199	0.3086910501	0.2716498973
22	0.3431672177	0.308968558	0.2717805784
23	0.3431204627	0.3092654486	0.2719891148
24	0.3430567806	0.309272169	0.27198951
25	0.3430181409	0.3093086505	0.271948277
26	0.3429809504	0.3094716449	0.2720105876
27	0.3429578867	0.3096933619	0.2721834239
28	0.3429237103	0.3099326277	0.2723467752
29	0.342890965	0.3099964355	0.2723683797
30	0.3428686582	0.3100197676	0.2723804993
31	0.3428080483	0.3100197676	0.2723804993
32	0.3427842586	0.3101000588	0.2724505823
33	0.3427537476	0.3102122022	0.27246863
34	0.3427290149	0.3102591947	0.2724968213
35	0.3427069669	0.310326423	0.272492474
36	0.3426933965	0.3104540761	0.2725838981
37	0.342668629	0.31056997	0.27264858
38	0.3426421842	0.3105677572	0.2726375142
39	0.3426245838	0.3106275223	0.2726881004
40	0.3426150489	0.3106386679	0.2726734779
41	0.3425575959	0.3106903872	0.2726957411
42	0.3425421841	0.3108328509	0.2727185312
43	0.3425220841	0.3109045371	0.2727700396
44	0.3425032041	0.3110083558	0.2728316915
45	0.3424884997	0.3111243079	0.2729523608
46	0.3424672808	0.3111123523	0.2729576301
47	0.3424499311	0.3111799242	0.2730406232
48	0.3424379469	0.3112556322	0.2731063589
49	0.3423993403	0.3112567675	0.2731068858
50	0.3423835424	0.311379128	0.2731248018
51	0.3423697892	0.3113994245	0.2731740707
52	0.3423543203	0.3114769733	0.2732130642
53	0.3423428713	0.3115548984	0.2732562733
54	0.3423243136	0.311559856	0.2732299263
55	0.3423077974	0.3116001984	0.2732676025
56	0.3422969134	0.3116951606	0.2733011949
57	0.3422616228	0.311697613	0.273300668
58	0.3422515371	0.3117049949	0.2733255659
59	0.3422389285	0.3117448384	0.273366272
60	0.3422285433	0.3117396095	0.2733679845
61	0.3422177886	0.3117852234	0.2733758886
62	0.3422042426	0.3118380846	0.2734206785
63	0.3421935102	0.3118583224	0.2734491332
64	0.3421828577	0.3118592469	0.2734688935
65	0.3421723189	0.3119276454	0.2734968213
66	0.3421630888	0.3119468716	0.2734633606
67	0.3421536605	0.3119410108	0.2734545344
68	0.3421473398	0.311979578	0.2734619115
69	0.3421375419	0.3119887922	0.2734952405
70	0.3421281642	0.3120155032	0.2735317311
71	0.3421214346	0.312066505	0.2735454315
72	0.3421084533	0.3120996867	0.2735533356
73	0.3421025114	0.3121430166	0.2735794191
74	0.3420958062	0.3122025588	0.2735936465
75	0.3420879253	0.3122074956	0.2736168318
76	0.3420787745	0.3122711006	0.2736683402
77	0.3420739368	0.3122651086	0.2736646516
78	0.342067557	0.3122743381	0.2736862562
79	0.3420506222	0.3122887453	0.2736904717
80	0.3420401447	0.3122735373	0.273707202
81	0.3420312841	0.3123080861	0.27371616
82	0.3420232647	0.3123236916	0.273709178
83	0.3420121988	0.3123252702	0.2737361837
84	0.3420045141	0.312406899	0.2737609499
85	0.3419989362	0.3124223233	0.2737660875
86	0.3419900862	0.3123939641	0.2737641115
87	0.3419823401	0.3123901107	0.2737696444
