iter	Passed	Remaining
0	8457	1683125
1	14548	1440291
2	20581	1351531
3	27050	1325495
4	33958	1324396
5	40316	1303572
6	47325	1304832
7	54613	1310723
8	61289	1300697
9	69166	1314159
10	77619	1333650
11	87938	1377706
12	99164	1426438
13	119136	1582807
14	132618	1635631
15	140889	1620225
16	149211	1606221
17	156509	1582482
18	166556	1586667
19	176357	1587220
20	184413	1571902
21	191207	1547043
22	195843	1507145
23	203417	1491728
24	208250	1457753
25	215242	1440466
26	221715	1420618
27	226719	1392707
28	231466	1364854
29	237299	1344699
30	244257	1331597
31	251472	1320232
32	256413	1297607
33	262071	1279525
34	268315	1264913
35	273418	1245571
36	277651	1223168
37	283271	1207633
38	287619	1187352
39	292329	1169318
40	296531	1149963
41	300652	1131025
42	305989	1117217
43	310537	1100995
44	315008	1085028
45	319754	1070482
46	325332	1059060
47	330223	1045709
48	334336	1030301
49	339095	1017286
50	344078	1005249
51	348394	991585
52	352755	978398
53	357207	965782
54	362886	956701
55	367475	944938
56	372328	934087
57	376537	921867
58	381645	912068
59	388401	906269
60	395512	901249
61	400526	891493
62	407318	885755
63	413024	877676
64	417993	868140
65	422414	857628
66	427625	848867
67	433371	841249
68	439464	834345
69	444800	826057
70	449217	816184
71	453424	806087
72	459384	799202
73	469492	799406
74	480195	800325
75	487521	795429
76	498040	795571
77	506659	792467
78	517112	792033
79	528151	792226
80	542375	796823
81	550343	791957
82	557967	786532
83	566412	782189
84	577689	781579
85	587128	778286
86	603256	783540
87	616298	784380
88	628890	784346
89	642320	785057
90	659756	790258
91	671414	788181
92	682698	785470
93	697669	786733
94	711697	786613
95	722519	782729
96	732388	777690
97	745139	775553
98	756484	771767
99	771023	771023
100	781877	766394
101	788641	757714
102	795607	749261
103	803365	741568
104	809083	732028
105	816148	723754
106	822674	715034
107	828439	705707
108	833657	695989
109	839669	687002
110	844115	676813
111	849264	667279
112	856214	659209
113	861847	650165
114	866205	640238
115	873277	632373
116	878740	623380
117	884146	614406
118	889478	605443
119	893888	595925
120	899878	587524
121	907109	579955
122	913998	572177
123	921286	564659
124	928767	557260
125	933734	548383
126	938613	539518
127	944116	531065
128	948539	522064
129	953453	513397
130	958409	504811
131	962985	496083
132	968558	487920
133	974084	479772
134	978457	471109
135	983692	462914
136	988551	454589
137	993372	446297
138	998198	438058
139	1003804	430201
140	1008385	421948
141	1014029	414181
142	1018977	406165
143	1023440	398004
144	1030103	390729
145	1036782	383467
146	1042632	375914
147	1048361	368343
148	1053346	360541
149	1057777	352592
150	1062601	344817
151	1067313	337046
152	1072012	329310
153	1079235	322369
154	1091992	317030
155	1108917	312771
156	1123300	307655
157	1133007	301179
158	1142949	294722
159	1150521	287630
160	1157890	280482
161	1166705	273671
162	1177510	267287
163	1186469	260444
164	1196516	253806
165	1204611	246727
166	1212924	239679
167	1222621	232880
168	1235486	226627
169	1245528	219799
170	1256370	213068
171	1265253	205971
172	1273216	198710
173	1281031	191418
174	1287579	183939
175	1294028	176458
176	1301231	169086
177	1308575	161734
178	1314984	154271
179	1322351	146927
180	1327277	139327
181	1331799	131716
182	1336279	124135
183	1342659	116752
184	1350527	109502
185	1357532	102179
186	1364802	94879
187	1371016	87511
188	1376585	80118
189	1383903	72837
190	1390942	65541
191	1397346	58222
192	1403396	50900
193	1412001	43670
194	1420699	36428
195	1428312	29149
196	1436256	21871
197	1444339	14589
198	1452203	7297
199	1460153	0
